FECHA,HORA,UBICACION,COORDENADAS
2023-10-28,21:19:00,DIEGO DIAZ DE BERLANGA DIEGO DE MONTEMAYOR   DIEGO DE MONTEMAYOR 351   COLONIA  FUNDADORES APODACA NL,
2023-10-28,22:06:00,S 6 327         COLONIA  METROPLEX 1 APODACA NL,
2023-10-28,22:44:00,GRANJENO 212      COLONIA  ENRAMADA 5 APODACA NL,
2023-10-28,23:15:00,AV MEXICO MONTERREY     COLONIA  NORIA NORTE FOM 39 APODACA NL,
2023-10-28,23:44:00,GARDENIA 340         COLONIA  ARTEMIO TREVINO APODACA NL,
2023-10-29,01:32:00,RIO ORINOCO RIO ACONCAGUA     COLONIA  PUEBLO NUEVO 5 APODACA NL,
2023-10-29,01:36:00,LONDRES 564B     COLONIA  PASEO DE LAS FLORES 1 APODACA NL,
2023-10-29,05:43:00,LINO 646          COLONIA  LOS TREBOLES APODACA NL,
2023-10-29,06:50:00,VALLE DE LOS EUCALIPTOS LILIES      COLONIA  VALLE DE LAS PALMAS 4 APODACA NL,
2023-10-29,08:31:00,PROLG TREVIÑO 1095      CENTRO DE APODACA APODACA NL    https   maps app goo gl 3Horb6UvLQqQSNKS8,
2023-10-29,08:42:00,AV MULTIPARK AV ISIDORO SEPULVEDA MARTINEZ PARQUE INDUSTRIAL MULTIPARK APODACA NL  https   maps app goo gl VjgyAWjqoQDisNca7,
2023-10-29,08:49:00,AV ACAPULCO 729       HACIENDA LAS MARGARITAS 8 APODACA NL   https   maps app goo gl hVLf7KTWYvUY4bNh6,
2023-10-29,09:41:00,NARDO 402    HACIENDA LAS MARGARITAS 5 APODACA NL   https   maps app goo gl Vwd4BLU3t14YZ2Vx9,
2023-10-29,09:43:00,MELCHOR OCAMPO NTE 304  CENTRO DE APODACA APODACA NL     https   maps app goo gl WAdWU9DzXQLna9Nf6,
2023-10-29,10:47:00,ARTURO ROMO 123  ALBERTA ESCAMILLA APODACA NL   https   maps app goo gl GdfMaz9H3D3gKXWq7,
2023-10-29,11:39:00,NARDO ANTONIO MACHADO  NARDO SANTA CECILIA 3 APODACA NL    https   maps app goo gl crP7Hv74z2w7T3qCA,
2023-10-29,13:35:00,ALPHA BLVD INTERAMERICAN  PARQUE INDUSTRIAL FINSA MONTERREY APODAC https   maps app goo gl VECjiWWB8gSvTHwh8,
2023-10-29,13:36:00,IRAN 716              PRADOS DE LA CIENEGUITA APODACA NL   https   maps app goo gl gd9CixXjRzoFeLvf9,
2023-10-29,14:15:00,BLVD CARLOS SALINAS DE GORTARI ZARAGOZA CENTRO DE APODACA APODACA NL     https   maps app goo gl HKERUSugtzZ5NkQa8,
2023-10-29,15:05:00,AV ORQUIDEA 1004    PASEO DE LAS FUENTES APODACA NL    https   maps app goo gl 5YoWaxTBdvZYSCz47,
2023-10-29,15:40:00,KAILUM 310      CIUDAD NATURA APODACA NL https   maps app goo gl YbqNYDmDV5Ae9jrW9,
2023-10-29,16:06:00,NOEMI OSUNA GONZALEZ 305      LOS LIRIOS APODACA NL   https   maps app goo gl nds6dKNrG6LPiuky8,
2023-10-29,16:43:00,AGUA FRIA JALISCO     MUNICIPIO DE APODACA APODACA NL   https   maps app goo gl qF6XiLbmVsm6MPTY9,
2023-10-29,17:24:00,AV DE LA CONCORDIA CAM REAL MEZQUITAL SANTA ROSA  EBANOS 5 APODACA NL     https   maps app goo gl HAWuLxvnzK3RddNH8,
2023-10-29,17:24:00,DEL GRANADO 202     FRESNOS 10 APODACA NL      https   maps app goo gl hQF8eZJACw7H4rBt6,
2023-10-29,17:25:00,TURCOS 340     MILENIUM RESIDENCIAL APODACA NL https   maps app goo gl PATy4KPcj4gzJFue6,
2023-10-29,18:42:00,HERMOSILLO 116 NORIA SUR FOM 38 APODACA NL    https   maps app goo gl dqLozhZpUbrwvDVE7,
2023-10-30,00:26:00,METROPLEX 2 APODACA NL,
2023-10-30,01:20:00,SOLICITA UNIDAD MEDICA  PARA VALORACION,
2023-10-30,07:39:00,AV ANDROMEDA CARR APODACA SANTA ROSA     COLONIA  COSMOPOLIS 8 APODACA NL,
2023-10-30,08:16:00,ESCOBEDO SUR ALDAMA OTE ALDAMA PTE   COLONIA  CENTRO DE APODACA APODACA NL,
2023-10-30,08:44:00,RIO COATZACOALCOS 711       COLONIA  PUEBLO NUEVO 5 APODACA NL,
2023-10-30,11:18:00,CAMELIA 305       COLONIA  ARTEMIO TREVINO APODACA NL,
2023-10-30,13:46:00,PETUNIAS 206      COLONIA    JARDINES DE SAN ANDRES 1 APODACA NL,
2023-10-30,13:54:00,AV CONCEPCION BARRAGAN 113   COLONIA  MUJERES ILUSTRES FOM 4 APODACA NL,
2023-10-30,15:42:00,CARR A MIGUEL ALEMAN F 54 KM 23 23               COLONIA  PARQUE INDUSTRIAL STIVA AEROPUERTO APODACA,
2023-10-30,16:05:00,AV HACIENDA EL CAMPANARIO CARR APODACA JUAREZ    COLONIA  HACIENDA EL CAMPANARIO APODACA NL,
2023-10-30,16:28:00,CARR A MIGUEL ALEMAN F 54 KM 23 23        COLONIA  PARQUE INDUSTRIAL STIVA AEROPUERTO APODACA NL,
2023-10-30,17:10:00,PASEO DE LOS CANARIOS CAM A LOS FERNANDEZ SANTO DOMINGO   COLONIA  LOS COLIBRIES APODACA NL,
2023-10-30,19:24:00,HIDALGO OTE ESCOBEDO NTE   CENTRO DE APODACA APODACA NL    https   maps app goo gl D7frDmDtm9b9YGAX9,
2023-10-30,20:18:00,AV MARGARITO GARZA GONZALEZ AV,
2023-10-30,21:48:00,ROBLE 224   LOS ENCINOS APODACA NL          https   maps app goo gl n5ZnSNvhp5xAXHUv8,
2023-10-30,21:54:00,AV MIGUEL ALEMAN AV POLITECNICA      MUNICIPIO DE APODACA APODACA NL https   maps app goo gl VSLHz6v2VWPLF7uHA,
2023-10-30,22:38:00,DAVID ALFARO SIQUEIROS JOSE CLEMENTE OROZCO  MISION REAL 1 APODACA NL     https   maps app goo gl 4ski5eoEQFugo16b7,
2023-10-30,23:17:00,CHECOSLOVACOS 223    ROBERTO ESPINOZA APODACA NL   https   maps app goo gl eveSPmFpGwoPsBQR6,
2023-10-30,23:54:00,O PRIMERA AV DE LA CONCORDIA    METROPLEX 1 APODACA NL https   maps app goo gl oUQM7ScfBEGGT3n2A,
2023-10-31,00:20:00,S 6 346       METROPLEX 1 APODACA NL   https   maps app goo gl jJW6uc58qX8HW5R46,
2023-10-31,04:41:00,CAMELIA 461 LOS TREBOLES APODACA NL    https   maps app goo gl dfGRuNea5ppKqwEFA,
2023-10-31,04:49:00,ARCO VIAL 240   RESIDENCIAL APODACA 1 APODACA NL https   maps app goo gl DHnkFeWaE2qyrmnR6,
2023-10-31,06:51:00,BLVD CARLOS SALINAS DE GORTARI AV DE LA CONCORDI  PARQUE INDUSTRIAL KALOS APODACA NL  https   maps app goo gl JDXQbppKBe8yX9Jy7,
2023-10-31,09:25:00,PADILLA APODACA NL,
2023-10-31,10:35:00,ALBERTA ESCAMILLA APODACA NL,
2023-10-31,17:19:00,KALOS SANTA ROSA APODACA NL,
2023-10-31,19:08:00,valle de san miguel y carr a huinala   COLONIA  VALLE DE SAN MIGUEL,
2023-10-31,19:53:00,PRIV ZAPOPAN 206        COLONIA  NORIA NORTE FOM 39 APODACA NL,
2023-10-31,20:05:00,RIO TAMUIN RIO SAN LORENZO  RIO SAN LORENZO 303   COLONIA  PUEBLO NUEVO 3 APODACA NL,
2023-10-31,20:16:00,RIO BLANCO RIO RHIN  RIO RHIN 137          COLONIA  PUEBLO NUEVO 3 APODACA NL,
2023-10-31,21:01:00,LOS PINOS 110  25 715500  100 182130      COLONIA  LAS GOLONDRINAS APODACA NL,
2023-10-31,21:05:00,GASODUCTO ANDROMEDA     COLONIA  COSMOPOLIS APODACA NL,
2023-10-31,22:08:00,AV ANDROMEDA AV INSURGENTES        COLONIA  NUEVO LAS PUENTES 3 APODACA NL,
2023-10-31,22:21:00,AUTOPISTA AL AEROPUERTO LOMAS DE ESPANA      COLONIA  MUNICIPIO DE APODACA APODACA NL,
2023-11-01,01:09:00,MORELOS 517       COLONIA  AGUA FRIA APODACA NL,
2023-11-01,01:22:00,RAIZ AHUEHUETE  RAIZ 246      COLONIA  FRACC RADICA APODACA NL,
2023-11-01,03:04:00,ELIAS FLORES SUR GARZA GARCIA OTE             COLONIA  FUTURO APODACA APODACA NL,
2023-11-01,04:31:00,ROSAS 434      COLONIA  VALLE DE LAS PALMAS 5 APODACA NL,
2023-11-01,06:13:00,AV VILLA DE SAN CARLOS RHODESIA DEL NORTE        COLONIA  VILLAS DE SAN CARLOS 3 APODACA NL,
2023-11-01,06:18:00,CARR A AGUA FRIA E 186 KM 1 AV MIGUEL ALEMAN     COLONIA  APODACA TECHNOLOGIC PARK APODACA NL,
2023-11-01,06:41:00,HACIENDA CANTERAS 804      COLONIA  HACIENDA LAS MARGARITAS 11 APODACA NL,
2023-11-01,07:29:00,AV INDUSTRIAS 180     PARQUE INDUSTRIAL KRONOS APODACA NL https   maps app goo gl uELXzUrTqZeSpPAm7,
2023-11-01,08:06:00,ZARAGOZA NTE TREVINO OTE      CENTRO DE APODACA APODACA NL  https   maps app goo gl zoJQwcijKsi5wFTo7,
2023-11-01,08:42:00,RIO USUMACINTA RIO LA PAZ       PUEBLO NUEVO 5 APODACA NL           https   maps app goo gl qeM1T5ysVNeYPWcA6,
2023-11-01,09:16:00,N 3 165  METROPLEX     https   maps app goo gl 5fNt2LLGRq26Y61g8,
2023-11-01,09:46:00,MANANTIAL 507  ARROYO  COLONIA EL MANANTIAL 1,
2023-11-01,09:52:00,ARCO VIAL ANT CAM A AGUA FRIA   RESIDENCIAL APODACA 1 APODACA NL    https   maps app goo gl faJkZAnKU6gGgEhG8,
2023-11-01,11:13:00,OLIVO 408  LOS TREBOLES APODACA NL      https   maps app goo gl SNghJu9oqMi5VvaG6,
2023-11-01,12:37:00,AV HECTOR CABALLERO 406   VALLE DE HUINALA 4 APODACA NL       https   maps app goo gl 5VodjV824cWCUk9v5,
2023-11-01,12:44:00,RUBENS 414    MISION REAL 2 APODACA NL   https   maps app goo gl UskJZn5RjKJKvj8z5,
2023-11-01,13:11:00,PUEBLA 417  COLONIAL HUINALA APODACA NL    https   maps app goo gl TupamKA3CN21MrUH9,
2023-11-01,13:40:00,AV DE LA CONCORDIA CAM REAL MEZQUITAL SANTA ROSA  MISION DE SAN JOSE 1 APODACA NL     https   maps app goo gl frXJKf4hZ8YNXeZq7,
2023-11-01,13:54:00,N 29 451 METROPLEX 2 APODACA NL      https   maps app goo gl nrx7yCCNQdi2nFh49,
2023-11-01,14:10:00,MARTIN LUTHER KING NACIONES UNIDAS  COLONIA PASEO FUNDADORES,
2023-11-01,14:42:00,ANT CAM A SANTO DOMINGO VALLE DE PLATA       ESTANCIAS VALLE DE PLATA APODACA NL   https   maps app goo gl uvh5CPs1tpRPHnMF7,
2023-11-01,15:15:00,AV MIGUEL ALEMAN AV E PARQUE INDUSTRIAL MILIMEX APODACA APODAC https   maps app goo gl dY3Dc1UXSuEm8weQA,
2023-11-01,15:47:00,ESTADOS UNIDOS INTERNACIONAL  INTERNACIONAL PARQUE INDUSTRIAL HUINALA APODACA NL    https   maps app goo gl Eb5bnHbTwKQwncfn9,
2023-11-01,16:57:00,JUANA VILLASENOR 127         MUJERES ILUSTRES FOM 4 APODACA NL  https   maps app goo gl 6pdhGimoT4fVbZju9,
2023-11-01,18:00:00,RUBEN GARCIA AV DEL FRAILE  CAPELLANIA RESIDENCIAL APODACA NL      https   maps app goo gl WKjB3ZN4EKvHZhxx8,
2023-11-01,18:39:00,CANADA 220     NUEVO AMANECER 1 APODACA NL    https   maps app goo gl emrCNTPMzP7UhhgE6,
2023-11-01,18:44:00,RODEO 323       PASEO DE APODACA APODACA NL https   maps app goo gl i9pVJpThiu5m68ZG8,
2023-11-01,18:48:00,JARDINES DE LA MONTANA 312   JARDINES DE MONTERREY 3 APODACA NL     https   maps app goo gl KZ9YiN5P2YwgKFmJ6,
2023-11-02,01:45:00,a  ALBERTA ESCAMILLA APODACA NL,
2023-11-02,07:24:00,AV MIGUEL ALEMAN BLVD JULIAN TREVINO ELIZONDO     COLONIA  PARQUE INDUSTRIAL EL MILAGRO APODACA NL,
2023-11-02,08:47:00,PLEYADES 151        COLONIA  COSMOPOLIS 8 APODACA NL,
2023-11-02,08:52:00,TALIA 532   COLONIA  SAN MIGUEL GOLONDRINAS 3 APODACA NL,
2023-11-02,08:58:00,LOMAS DEL TIBET 339   COLONIA  LOMAS DE LA PAZ APODACA NL,
2023-11-02,09:47:00,RIO DE LA PLATA 126     COLONIA  PUEBLO NUEVO 3 APODACA NL,
2023-11-02,11:06:00,CAM REAL MEZQUITAL SANTA ROSA ANT CAM A SANTO DOMINGO   COLONIA  EL MEZQUITAL APODACA NL,
2023-11-02,11:44:00,CARR MEZQUITAL SANTA ROSA CJON MEZQUITAL      COLONIA  PANTEON JARDIN DE LOS ANGELES APODACA NL,
2023-11-02,12:00:00,AV GIRASOL AV ORQUIDEA      COLONIA  HACIENDA LAS MARGARITAS 1 APODACA NL,
2023-11-02,12:39:00,GLADIOLA 633       COLONIA  HACIENDA LAS MARGARITAS 3 APODACA NL,
2023-11-02,12:55:00,NEWTON GALILEO    NEWTON 112        COLONIA  RECOVA RESIDENCIAL APODACA NL,
2023-11-02,13:37:00,BLVD CARLOS SALINAS DE GORTARI ZARAGOZA SUR     COLONIA  CENTRO DE APODACA APODACA NL,
2023-11-02,15:05:00,SAN PEDRO 1030     COLONIA  MISION DE SAN JAVIER APODACA NL,
2023-11-02,17:15:00,BLVD CARLOS SALINAS DE GORTARI AV MIGUEL ALEMAN   COLONIA  CENTRO DE APODACA APODACA NL,
2023-11-02,17:55:00,AV DE LA CONCORDIA MAPLE   COLONIA  MUNICIPIO DE APODACA APODACA NL,
2023-11-02,17:58:00,JARDINES FLORIDOS 229       COLONIA    JARDINES DE MONTERREY 1 APODACA NL,
2023-11-02,18:47:00,AV MIGUEL ALEMAN AV ROGELIO GONZALEZ      COLONIA  PARQUE INDUSTRIAL STIVA AEROPUERTO APODACA NL,
2023-11-02,20:01:00,PRIV ZAPOPAN 131      NORIA NORTE FOM 39 APODACA NL     https   maps app goo gl 7eE87EnCFk1CHTP69,
2023-11-02,20:04:00,CARR APODACA SANTA ROSA FELIX LOZANO  SANTA ROSA APODACA NL     https   maps app goo gl AqrWLqZUiAMKeeuo8,
2023-11-02,20:27:00,YUCA 612  EBANOS 2 APODACA NL  https   maps app goo gl X9GHVWy7CVR2Xnu29,
2023-11-02,20:47:00,ANT CAM A AGUA FRIA LA CORUNA   AGUA FRIA APODACA NL    https   maps app goo gl gXNh5JoPCoixXjMC9,
2023-11-02,22:37:00,CTO VESTA 160           PRIVALIA HUINALA 1 APODACA NL       https   maps app goo gl rYQ1FZegRVjnZZEx5,
2023-11-02,23:00:00,ALOE 131   LOS TREBOLES APODACA NL       https   maps app goo gl rVSp98DUtZCpnSK57,
2023-11-03,00:27:00,CJON DE LOS REYES 119      PRIVADA ILTAMARINDO APODACA NL https   maps app goo gl 9CEDw2LR1PLbWiq39,
2023-11-03,00:49:00,ALAMEDA HUEJUCAR LOS ALAMOS 2 APODACA NL     https   maps app goo gl raCSqYAm8H94cBDP9,
2023-11-03,01:57:00,RIO PANUCO 202  PUEBLO NUEVO 2 APODACA NL     https   maps app goo gl qWSjXFvYiy7449rQA,
2023-11-03,03:55:00,NUEVA GUINEA 339       RIVERAS ORIENTE APODACA NL   https   maps app goo gl Yrc9wio2bdqUSePNA,
2023-11-03,05:20:00,RIO PANUCO 202 y  RIO MISSISSIPPI  COLONIA  PUEBLO NUEVO 2,
2023-11-03,05:45:00,AV AMERICA CARR APODACA SANTA ROSA   COLONIA PARAJE SANTA ROSA SEC SUR,
2023-11-03,06:32:00,AV ROGELIO GONZALEZ AV MIGUEL ALEMAN PARQUE INDUSTRIAL STIVA AEROPUERTO APODA   https   maps app goo gl HhRhwjWAth928e2a6,
2023-11-03,17:53:00,METROPLEX 2 APODACA NL,
2023-11-03,19:05:00,ATROPELLAMIENTO     COLONIA  MIRASOL RESIDENCIAL APODACA NL,
2023-11-03,19:07:00,ANTARES URANO  25 818760  100 246000       COLONIA  COSMOPOLIS APODACA NL,
2023-11-03,19:27:00,AV DE LA CONCORDIA PASEO DE LOS PINOS          COLONIA  PRADOS DE LOS PINOS 3 APODACA NL,
2023-11-03,19:30:00,MAKALU 123         COLONIA  MIRADOR DE APODACA APODACA NL,
2023-11-03,19:49:00,AV DE LA CONCORDIA AV AFGANISTAN     COLONIA  HACIENDA SANTA ISABEL 1 APODACA NL,
2023-11-03,19:51:00,AV DE LA CONCORDIA AV NUEVA LAS PUENTES     COLONIA  NUEVO LAS PUENTES 5 APODACA NL,
2023-11-03,20:01:00,TERMINAL C AEROPUERTO 0         COLONIA  AEROPUERTO INTERNACIONAL MARIANO ESCOBEDO,
2023-11-03,20:18:00,PERLA 265   COLONIA  JOYAS DEL PEDREGAL APODACA NL,
2023-11-03,20:32:00,GOLFO DE MEXICO 301        COLONIA    SAN ANDRES APODACA NL,
2023-11-03,20:54:00,CAM REAL MEZQUITAL SANTA ROSA CIPRES      COLONIA    EBANOS 9 APODACA NL,
2023-11-03,22:46:00,ARENAL 126       COLONIA  NORIA NORTE FOM 39 APODACA NL,
2023-11-04,00:18:00,AV DE LA PAZ AV HECTOR CABALLERO       COLONIA  VENTURA DE ASIS 1 APODACA NL,
2023-11-04,02:26:00,GRANJENO 722     COLONIA  EBANOS NORTE 5 APODACA NL,
2023-11-04,03:55:00,GARZA REAL 345      COLONIA  ENRAMADA 4 APODACA NL,
2023-11-04,07:43:00,MADEIRA RIO INDIO    COLONIA PUEBLO NUEVO 2,
2023-11-04,09:18:00,PEMEX 547  NUEVO MEZQUITAL APODACA NL   https   maps app goo gl raCiSNkStsJ1AZ6v6,
2023-11-04,09:25:00,LOS PINOS 101 LAS GOLONDRINAS APODACA NL   https   maps app goo gl ad67QB5kFvnwrKGr5,
2023-11-04,10:00:00,AV MIGUEL ALEMAN AV,
2023-11-04,10:10:00,MIZAR SIRIO  SIRIO 243COSMOPOLIS APODACA NL     https   maps app goo gl WmkQNnL4bP7zBqF8A,
2023-11-04,10:24:00,GLADIOLA 166         VILLAS DE SANTA ROSA APODACA NL   https   maps app goo gl 43LFwY7UAyCoVJ4s6,
2023-11-04,10:44:00,DE LA ANACUA DEL PINON  DEL PINON 708   FRESNOS 4 APODACA NL     https   maps app goo gl ASW5Enfi57GPCsA77,
2023-11-04,10:49:00,REGIA 214 LOS TRES NOGALES APODACA NL     https   maps app goo gl GZhe6SjX8Q11iBME6,
2023-11-04,11:55:00,RIO SALADO 372 PUEBLO NUEVO 3 APODACA NL      https   maps app goo gl NVoW7hHUx3q7hnr28,
2023-11-04,12:03:00,ANT CAM A SANTO DOMINGO AV DE LA CONCORDIA    PRIVALIA CONCORDIA 1 APODACA NL      https   maps app goo gl yW7mFEhNP95171J69,
2023-11-04,12:32:00,BLVD MILENIUM CARR AL AEROPUERTO           PARQUE INDUSTRIAL MILENIUM APODACA NL    https   maps app goo gl vJ5FFv2W7EFLGVNn8,
2023-11-04,12:53:00,DEL NOGAL 732       FRESNOS 4 APODACA NL    https   maps app goo gl wRAXG2W1me21AKv28,
2023-11-04,12:56:00,CASTILLA 244     RESIDENCIAL LAS PROVINCIAS APODACA NL https   maps app goo gl qNhkfY9rbVZcrUK29,
2023-11-04,15:04:00,FRANCISCO VILLA AV DE LA CONCORDIA     FRANCISCO VILLA AV DE LA CONCORDIA  https   maps app goo gl p5oi68mvC1EQ68wg6,
2023-11-04,16:19:00,RIO SAN JUAN 329     BALCONES DE SANTA ROSA APODACA NL    https   maps app goo gl SZskX1o8d7BWVCgB8,
2023-11-04,16:53:00,CHILE BRASIL   NUEVO AMANECER 1 APODACA NL    https   maps app goo gl jeHvaStnV2EYQFsQ6,
2023-11-04,17:21:00,CAM REAL MEZQUITAL SANTA ROSA EBANOS 5 APODACA NL     https   maps app goo gl 2JvQqjrzm9BdB7S36,
2023-11-04,17:44:00,CDA CATANIA 125   CERRADAS DE SANTA ROSA 2 APODACA NL   https   maps app goo gl KSc1s4zEFYEgRuQu9,
2023-11-04,18:19:00,VANCOUVER 111   TERRANOVA ELITE APODACA NL   https   maps app goo gl hV5N4js4CZnKkUHe8,
2023-11-04,18:44:00,RIO TAMESI 1007  RIO TAMESI RIO SAN FRANCISCO PUEBLO NUEVO 4 APODACA NL   https   maps app goo gl SRdcgwoBoQMdWQ5T9,
2023-11-04,18:45:00,GERANIO GUATEMALA   FRESNOS NORTE APODACA NL  https   maps app goo gl 3iEoVC5kpKUUraZY7,
2023-11-04,18:52:00,AV VALTERRA 0 CARR SAN MIGUEL HUINALA 700 VALTERRA RESIDENCIAL APODACA NL   https   maps app goo gl xHSFwTQ4jXFavSHr9,
2023-11-04,18:56:00,AV DE LA CONCORDIA 800          MUNICIPIO DE APODACA APODACA NL       https   maps app goo gl aVnTpt5JZtMk8GNj6,
2023-11-04,22:04:00,02 FEMENINAS SE QUEJAN DE DOLOR DE CUELLO       REFERENCIA EMPRESA POCKET PARK AEROPUERTO,
2023-11-05,07:48:00,FRANCISCO NARANJO 119   COLONIA  VALLE DE HUINALA 3 APODACA NL,
2023-11-05,07:58:00,BLANCA 306  25 71147  100 16179        COLONIA  LOS CANDILES APODACA NL,
2023-11-05,08:24:00,AUTOPISTA AL AEROPUERTO E 121D KM 3 AUTOPISTA AL AL AEROPUERTO E 121D KM 4  25 720580  100 135170   COLONIA   MUNICIPIO DE APODACA,
2023-11-05,10:27:00,AV  AMERICA       P  DE LAS FLORES   COL  VILLAS DE SANTA ROSA,
2023-11-05,10:50:00,BRUSELAS 907      COLONIA  PASEO DE LAS FLORES 1 APODACA NL,
2023-11-05,10:51:00,FLORA 343        COLONIA  LOS TREBOLES APODACA NL,
2023-11-05,10:56:00,ITALIANO 109        COLONIA  PRIVADA DOMINIO APODACA NL,
2023-11-05,12:01:00,AV CHOPO BLVD JESUS DIONISIO GONZALEZ      COLONIA  ARBADO SEC MONARCA APODACA NL,
2023-11-05,12:19:00,RIO BERMEJO 706   COLONIA  PUEBLO NUEVO 5 APODACA NL,
2023-11-05,12:37:00,AV,
2023-11-05,12:43:00,RIO GRIJALVA 122        COLONIA  PUEBLO NUEVO 1 APODACA NL,
2023-11-05,13:22:00,CARR SAN MIGUEL HUINALA CAM DE LOS MAGUEYES   GASPAR CASTANO  CARR SAN MIGUEL HUINALA 122   COLONIA  VALLE DE SAN MIGUEL 2 APODACA NL,
2023-11-05,13:33:00,GASPAR CASTANO 500          COLONIA  EL CAMPANARIO APODACA NL,
2023-11-05,14:18:00,CHAPALA 119       COLONIA  NORIA NORTE FOM 39 APODACA NL,
2023-11-05,14:29:00,GNOMOS PEGASO  GNOMOS 302   COLONIA  BOSQUES DEL SOL APODACA NL,
2023-11-05,15:04:00,MAGUEY 527        COLONIA  BOSQUE REAL 1 APODACA NL,
2023-11-05,15:41:00,PERLA FIDEL VELAZQUEZ  PERLA 241     COLONIA  JOYAS DEL PEDREGAL APODACA NL,
2023-11-05,17:35:00,PASEO VIRREY DE BUCARELI 104        COLONIA    RINCONADA COLONIAL CAMPESTRE 2 APODACA N,
2023-11-05,20:40:00,RIO BRAVO 752      PUEBLO NUEVO 1 APODACA NL      https   maps app goo gl khA28vyRXyScVUibA,
2023-11-05,20:54:00,CEIBA 723 EBANOS 3 APODACA NL          https   maps app goo gl BmPnCMUURtWEJVfZ9,
